SAPPHIRE 라데온 RX 570 PULSE OC D5 8GB Dual-X,SAPPHIRE,RX570,14,NA,1284,2048,3.0x16,5,NA,8,256,DVI / HDMI / DP / 최대 모니터 5개 이상 / 최대 180W / 정격파워 500W / 전원부: 4페이즈 / 2개 팬 / 230mm / 백플레이트,229000
MSI 지포스 RTX 2070 아머 D6 8GB,MSI,RTX2070,12,1410,1620,2304,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 175W / 정격파워 550W 이상 / 2개 팬 / 295mm / 백플레이트 / LED 라이트 / MYSTIC LIGHT,630000
COLORFUL 지포스 GTX1050 토마호크 OC D5 2GB,COLORFUL,GTX1050,14,1430,1544,640,NA,NA,7000,2,128,DVI / HDMI / DP / 최대 75W / 전원부: 4페이즈 / 2개 팬 / 240mm,130000
GIGABYTE 지포스 GTX1050 Ti UDV D5 4GB 윈드포스,GIGABYTE,GTX1050Ti,14,1328,1442,768,3.0x16,5,7008,4,128,DVI / HDMI / DP / 최대 모니터 4개 / 정격파워 300W 이상 / 전원부: 5페이즈 / 2개 팬 / 229mm,216300
갤럭시 GALAX 지포스 GT710 D3 2GB LP,갤럭시,GT710,NA,954,NA,192,2.0x8,3,1600,2,64,DVI / HDMI / 최대 모니터 3개 / 정격파워 300W 이상 / 1개 팬 / 158mm,48600
ZOTAC GAMING AMP 지포스 RTX 2080 D6 8GB,ZOTAC,RTX2080,12,NA,1830,2944,3.0x16,6,NA,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 225W / 정격파워 650W / 3개 팬 / 308mm,1085200
갤럭시 GALAX 지포스 RTX 2080 Ti 개간지 OC D6 11GB BLACK Edition,갤럭시,RTX2080Ti,12,NA,1635,4352,3.0x16,6,14000,11,352,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 260W / 정격파워 650W 이상 / 전원부: 13+3페이즈 / 3개 팬 / 308mm / 백플레이트 / LED 라이트,1614000
COLORFUL 지포스 GTX1060 토마호크 OC D5 6GB,COLORFUL,GTX1060,16,1544,1759,1280,NA,NA,8008,6,192,DVI / HDMI / DP / 최대 120W / 전원부: 4페이즈 / 2개 팬 / 250mm / 백플레이트,274700
ASUS DUAL 지포스 GTX1060 O3G D5 3GB,ASUS,GTX1060,16,1569,1785,1152,3.0x16,5,8008,3,192,DVI / HDMI / DP / 최대 모니터 4개 / 2개 팬 / 242mm,225300
ZOTAC GAMING AMP EXTREME 지포스 RTX 2070 D6 8GB,ZOTAC,RTX2070,12,NA,1860,2304,3.0x16,6,14400,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 225W / 정격파워 550W / 3개 팬 / 308mm / 백플레이트 / LED 라이트 / SPECTRA,713600
