SuperFlower SF-500R12A NOVA 80PLUS,SuperFlower,ATX,500,120,1,액티브,싱글레일,37,4,6,2,5,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / 대기전력 1W / 플랫케이블 / 80 PLUS / 스탠다드,42200
POWEREX LEGEND 800W Lite 80PLUS 브론즈,POWEREX,ATX,800,120,1,액티브,싱글레일,67,3,5,4,5,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / Reform 케이블 / 대기전력 1W / 프리볼트 / 80 PLUS / 브론즈,91000
마이크로닉스 Cyclone III 350W +12V Single Rail,마이크로닉스,ATX,350,120,1,NA,싱글레일,25,3,4,2,3,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / 대기전력 1W,29300
델타 DPS-650AB/7C 88PLUS,델타,ATX,650,120,1,액티브,다중레일,35,3,5,4,5,20핀+4핀 / 깊이: 155mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 프리볼트 / 2019년 1월 엘리트컴퍼니 -> 제삼세대 유통사 변경,58000
스카이디지탈 파워스테이션5 PS5-1350RV GOLD MODULAR,스카이디지탈,ATX,1350,140,1,액티브,싱글레일,112,3,8,5,5,24핀 전용 / 깊이: 200mm / 6핀 PCI-E x1 / 보조8핀(4+4) 커넥터 / 보조8핀 커넥터 / FDD 커넥터 / 케이블 연결식 / 프리볼트 / 80 PLUS / 골드,135000
쿨러마스터 MWE 650 80PLUS BRONZE 프리볼트,쿨러마스터,ATX,650,120,1,액티브,싱글레일,54,4,8,4,5,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 프리볼트 / 80 PLUS / 브론즈,65900
AONE STORM 500W 80PLUS STANDARD 230V EU,AONE,ATX,500,120,1,액티브,싱글레일,40,3,6,2,3,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / 대기전력 1W / 80 PLUS / 스탠다드,31000
SuperFlower SF-850F14MT LEADEX SILVER,SuperFlower,ATX,850,140,1,액티브,싱글레일,70,4,9,4,7,20핀+4핀 / 깊이: 165mm / 보조8핀(4+4) 커넥터 / 케이블 연결식 / 대기전력 1W / 80 PLUS / 실버,127500
마이크로닉스 ASTRO GD 750W 80PLUS GOLD 풀모듈러 화이트,마이크로닉스,ATX,750,NA,1,NA,싱글레일,62,4,8,4,7,20핀+4핀 / 깊이: 160mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 케이블 연결식 / 대기전력 1W / 프리볼트 / 80 PLUS / 골드,116600
시소닉 S12II-620 80PLUS 브론즈,시소닉,ATX,620,120,1,액티브,다중레일,24,4,8,2,5,20핀+4핀 / 보조8핀(4+4) 커넥터 / FDD 커넥터 / Reform 케이블 / 플랫케이블 / 80 PLUS / 브론즈,69000
EVGA SUPERNOVA 1000G+ 80PLUS GOLD,EVGA,ATX,1000,135,1,액티브,싱글레일,83,6,12,8,10,24핀 전용 / 깊이: 180mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / Reform 케이블 / 케이블 연결식 / 프리볼트 / 80 PLUS / 골드,195900
FSP Hydro PTM 650W 80PLUS PLATINUM,FSP,ATX,650,135,1,액티브,싱글레일,54,3,12,4,10,24핀 전용 / 깊이: 170mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 케이블 연결식 / 플랫케이블 / 프리볼트 / 80 PLUS / 플레티넘,134600
CORSAIR CX750 NEW 80PLUS BRONZE,CORSAIR,ATX,750,120,1,액티브,싱글레일,62,8,8,4,5,20핀+4핀 / 깊이: 160mm / 보조8핀(4+4) 커넥터 / Reform 케이블 / 프리볼트 / 80 PLUS / 브론즈,96310
제이씨현 UDEA FULLMAN 70P SILVER EDITION,제이씨현,ATX,400,120,1,NA,싱글레일,28,3,5,1,2,20핀+4핀 / 보조8핀(4+4) 커넥터 / 대기전력 1W,24000
AONE 500K 벌크,AONE,ATX,200,120,1,NA,NA,10,3,3,NA,1,20핀+4핀 / 보조4핀 커넥터,11000
마이크로닉스 Performance II HV 1000W Bronze,마이크로닉스,ATX,1000,135,1,액티브,싱글레일,83,5,12,6,3,20핀+4핀 / 깊이: 160mm / 보조8핀(4+4) 커넥터 / 보조8핀 커넥터 / FDD 커넥터 / Reform 케이블 / 케이블 연결식 / 대기전력 1W / 프리볼트 / 80 PLUS / 브론즈,182000
마이크로닉스 Compact TFX 350W 80Plus EU Standard,마이크로닉스,TFX,350,80,1,액티브,다중레일,14,2,4,NA,3,20핀+4핀 / 6핀 PCI-E x2 / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 대기전력 1W / 80 PLUS / 스탠다드,47600
스카이디지탈 파워스테이션5 PS5-600EV Standard,스카이디지탈,ATX,600,120,1,액티브,싱글레일,46,3,6,2,5,24핀 전용 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 플랫케이블 / 80 PLUS / 스탠다드,40040
FSP Hydro G WHITE 750W,FSP,ATX,750,135,1,액티브,싱글레일,62,6,12,4,5,20핀+4핀 / 깊이: 170mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / 케이블 연결식 / 플랫케이블 / 프리볼트 / 80 PLUS / 골드,132500
HOPELY 600A,HOPELY,ATX,200,120,1,NA,싱글레일,10,3,3,NA,1,20핀+4핀 / 보조4핀 커넥터 / 대기전력 1W,11000
잘만 ZM750-EBT 80PLUS GOLD,잘만,ATX,750,135,1,액티브,싱글레일,62,6,8,4,5,20핀+4핀 / 깊이: 160mm / 보조8핀(4+4) 커넥터 / FDD 커넥터 / Reform 케이블 / 케이블 연결식 / 대기전력 1W / 플랫케이블 / 프리볼트 / 80 PLUS / 골드,94000
SuperFlower SF-600R12A NOVA 80PLUS,SuperFlower,ATX,600,120,1,액티브,싱글레일,46,4,6,2,5,20핀+4핀 / 깊이: 140mm / 보조8핀(4+4) 커넥터 / 대기전력 1W / 플랫케이블 / 80 PLUS / 스탠다드,52300
